Depth(X),Depth(Y),Depth_dt(X),Depth_dt(Y),Tension(X),Tension(Y)
42909.47865,51.07499976,42909.47866,0,42909.47865,186.5086445
42909.47866,51.07499976,42909.47867,0,42909.47866,186.68937
42909.47867,51.07499976,42909.47868,0,42909.47867,188.4966243
42909.47868,51.07499976,42909.47869,0,42909.47868,183.7977631
42909.47869,51.07499976,42909.4787,-3064.499255,42909.47869,186.68937
42909.4787,0,42909.47872,0,42909.4787,186.5086445
42909.47872,0,42909.47873,0,42909.47872,186.5086445
42909.47873,0,42909.47874,0,42909.47873,184.7013902
42909.47874,0,42909.47875,-6.749976604,42909.47874,180.002529
42909.47875,-0.112499637,42909.47876,-27.18740577,42909.47875,199.3401501
42909.47876,-0.565623174,42909.47877,-29.81241799,42909.47876,200.6052281
42909.47877,-1.062496571,42909.47878,-28.49990122,42909.47877,194.8220143
42909.47878,-1.537495038,42909.4788,-25.31243037,42909.47878,194.279838
42909.4788,-1.959368676,42909.47881,-26.06240967,42909.4788,187.4122717
42909.47881,-2.393742274,42909.47882,-23.99991682,42909.47881,191.0267803
42909.47882,-2.793740983,42909.47883,-12.37496301,42909.47882,186.1471937
42909.47883,-2.999990317,42909.47884,-0.18749935,42909.47883,169.3397286
42909.47884,-3.003115307,42909.47885,0,42909.47884,193.9183872
42909.47885,-3.003115307,42909.47887,0,42909.47885,188.3158988
42909.47887,-3.003115307,42909.47888,0,42909.47887,184.3399394
42909.47888,-3.003115307,42909.47889,0,42909.47888,185.9664682
42909.47889,-3.003115307,42909.4789,0,42909.47889,186.5086445
42909.4789,-3.003115307,42909.47891,0,42909.4789,186.1471937
42909.47891,-3.003115307,42909.47892,0,42909.47891,185.7857428
42909.47892,-3.003115307,42909.47894,0,42909.47892,188.4966243
42909.47894,-3.003115307,42909.47895,0,42909.47894,179.2796273
42909.47895,-3.003115307,42909.47896,0,42909.47895,192.1111329
42909.47896,-3.003115307,42909.47897,0,42909.47896,186.68937
42909.47897,-3.003115307,42909.47898,0,42909.47897,183.7977631
42909.47898,-3.003115307,42909.47899,0,42909.47898,186.8700954
42909.47899,-3.003115307,42909.479,-5.812479854,42909.47899,178.0145493
42909.479,-3.099989994,42909.47902,-13.68745909,42909.479,205.4848147
